Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  14:15
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5700,000000	0,026252
5701,000000	0,000000
5702,000000	0,016232
5703,000000	0,000000
5704,000000	0,036020
5705,000000	0,023199
5706,000000	0,026862
5707,000000	0,018315
5708,000000	0,021368
5709,000000	0,021368
5710,000000	0,020147
5711,000000	0,018926
5712,000000	0,017094
5713,000000	0,020757
5714,000000	0,019105
5715,000000	0,018530
5716,000000	0,017705
5717,000000	0,025031
5718,000000	0,017705
5719,000000	0,018926
5720,000000	0,020147
5721,000000	0,021978
5722,000000	0,003663
5723,000000	0,023810
5724,000000	0,018315
5725,000000	0,023199
5726,000000	0,020757
5727,000000	0,021978
5728,000000	0,020757
5729,000000	0,021368
5730,000000	0,020147
5731,000000	0,022589
5732,000000	0,023810
5733,000000	0,018315
5734,000000	0,024420
5735,000000	0,022589
5736,000000	0,020757
5737,000000	0,021368
5738,000000	0,027473
5739,000000	0,028083
5740,000000	0,021978
5741,000000	0,014508
5742,000000	0,023810
5743,000000	0,029915
5744,000000	0,014508
5745,000000	0,015263
5746,000000	0,028083
5747,000000	0,034188
5748,000000	0,043956
5749,000000	0,061050
5750,000000	0,089744
5751,000000	0,131258
5752,000000	0,164225
5753,000000	0,242979
5754,000000	0,294261
5755,000000	0,371795
5756,000000	0,436508
5757,000000	0,502442
5758,000000	0,579365
5759,000000	0,639194
5760,000000	0,710012
5761,000000	0,777778
5762,000000	0,846154
5763,000000	0,924908
5764,000000	0,966422
5765,000000	1,038462
5766,000000	1,100733
5767,000000	1,143468
5768,000000	1,175214
5769,000000	1,206960
5770,000000	1,209402
5771,000000	1,197802
5772,000000	1,179487
5773,000000	1,167888
5774,000000	1,156288
5775,000000	1,155678
5776,000000	1,148352
5777,000000	1,144078
5778,000000	1,149573
5779,000000	1,152625
5780,000000	1,155067
5781,000000	1,151404
5782,000000	1,164225
5783,000000	1,166056
5784,000000	1,169109
5785,000000	1,178266
5786,000000	1,178877
5787,000000	1,202686
5788,000000	1,213675
5789,000000	1,228327
5790,000000	1,236264
5791,000000	1,234432
5792,000000	1,206349
5793,000000	1,158730
5794,000000	1,105617
5795,000000	1,034799
5796,000000	0,962149
5797,000000	0,892552
5798,000000	0,810745
5799,000000	0,738706
5800,000000	0,672772
5801,000000	0,595849
5802,000000	0,517705
5803,000000	0,446886
5804,000000	0,374847
5805,000000	0,301587
5806,000000	0,244811
5807,000000	0,181929
5808,000000	0,125763
5809,000000	0,081807
5810,000000	0,054945
5811,000000	0,039072
5812,000000	0,028298
5813,000000	0,036020
5814,000000	0,038462
5815,000000	0,051282
5816,000000	0,029915
5817,000000	0,022589
5818,000000	0,017705
5819,000000	0,019536
5820,000000	0,015083
5821,000000	0,017705
5822,000000	0,022589
5823,000000	0,019536
5824,000000	0,018926
5825,000000	0,018926
5826,000000	0,018315
5827,000000	0,019536
5828,000000	0,023810
5829,000000	0,024420
5830,000000	0,018926
5831,000000	0,017705
5832,000000	0,015263
5833,000000	0,021978
5834,000000	0,026252
5835,000000	0,020147
5836,000000	0,014652
5837,000000	0,023199
5838,000000	0,018315
5839,000000	0,026575
5840,000000	0,021368
5841,000000	0,020757
5842,000000	0,018315
5843,000000	0,020757
5844,000000	0,018926
5845,000000	0,025031
5846,000000	0,013431
5847,000000	0,020147
5848,000000	0,023199
5849,000000	0,020757
5850,000000	0,017705
5851,000000	0,016484
5852,000000	0,017094
5853,000000	0,020147
5854,000000	0,018926
5855,000000	0,020147
5856,000000	0,018315
5857,000000	0,021368
5858,000000	0,018315
5859,000000	0,024851
5860,000000	0,019536
