Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  14:38
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5435,000000	0,019536
5436,000000	0,025426
5437,000000	0,022589
5438,000000	0,028083
5439,000000	0,020757
5440,000000	0,020147
5441,000000	0,014652
5442,000000	0,030525
5443,000000	0,014042
5444,000000	0,018315
5445,000000	0,021978
5446,000000	0,028694
5447,000000	0,021368
5448,000000	0,021978
5449,000000	0,034188
5450,000000	0,055556
5451,000000	0,117360
5452,000000	0,214286
5453,000000	0,372405
5454,000000	0,615995
5455,000000	0,947497
5456,000000	1,335775
5457,000000	1,763736
5458,000000	2,156899
5459,000000	2,502442
5460,000000	2,757631
5461,000000	2,878510
5462,000000	2,824822
5463,000000	2,580622
5464,000000	2,291209
5465,000000	1,876068
5466,000000	1,460317
5467,000000	1,040293
5468,000000	0,694139
5469,000000	0,413919
5470,000000	0,228327
5471,000000	0,114774
5472,000000	0,056166
5473,000000	0,027473
5474,000000	0,020757
5475,000000	0,021368
5476,000000	0,000611
5477,000000	0,017094
5478,000000	0,006105
5479,000000	0,031136
5480,000000	0,027473
5481,000000	0,021978
5482,000000	0,020147
5483,000000	0,020147
5484,000000	0,016232
5485,000000	0,021978
