Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  14:12
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5700,000000	0,025641
5701,000000	0,028083
5702,000000	0,026862
5703,000000	0,024420
5704,000000	0,025641
5705,000000	0,027473
5706,000000	0,025641
5707,000000	0,014652
5708,000000	0,019536
5709,000000	0,025641
5710,000000	0,022589
5711,000000	0,020147
5712,000000	0,027473
5713,000000	0,025031
5714,000000	0,023199
5715,000000	0,020757
5716,000000	0,025031
5717,000000	0,023810
5718,000000	0,018926
5719,000000	0,024420
5720,000000	0,026252
5721,000000	0,018926
5722,000000	0,028083
5723,000000	0,031136
5724,000000	0,021368
5725,000000	0,027473
5726,000000	0,029304
5727,000000	0,028083
5728,000000	0,029915
5729,000000	0,008547
5730,000000	0,040293
5731,000000	0,039683
5732,000000	0,038462
5733,000000	0,041514
5734,000000	0,058608
5735,000000	0,081807
5736,000000	0,119658
5737,000000	0,163004
5738,000000	0,217949
5739,000000	0,281441
5740,000000	0,346046
5741,000000	0,408425
5742,000000	0,476801
5743,000000	0,538462
5744,000000	0,609890
5745,000000	0,672161
5746,000000	0,744200
5747,000000	0,816850
5748,000000	0,885836
5749,000000	0,941392
5750,000000	1,034188
5751,000000	1,106838
5752,000000	1,158120
5753,000000	1,247863
5754,000000	1,329670
5755,000000	1,396215
5756,000000	1,502442
5757,000000	1,595238
5758,000000	1,717949
5759,000000	1,829670
5760,000000	1,948107
5761,000000	2,106838
5762,000000	2,203297
5763,000000	2,338828
5764,000000	2,454212
5765,000000	2,584860
5766,000000	2,688034
5767,000000	2,793040
5768,000000	2,873626
5769,000000	2,949328
5770,000000	2,998168
5771,000000	3,042735
5772,000000	3,092186
5773,000000	3,096459
5774,000000	3,102564
5775,000000	3,119048
5776,000000	3,119658
5777,000000	3,122100
5778,000000	3,128205
5779,000000	3,126374
5780,000000	3,128205
5781,000000	3,131258
5782,000000	3,135531
5783,000000	3,126374
5784,000000	3,127595
5785,000000	3,117827
5786,000000	3,106227
5787,000000	3,092186
5788,000000	3,068376
5789,000000	3,027472
5790,000000	2,975580
5791,000000	2,902320
5792,000000	2,807082
5793,000000	2,695360
5794,000000	2,572039
5795,000000	2,447497
5796,000000	2,319902
5797,000000	2,196581
5798,000000	2,059219
5799,000000	1,931013
5800,000000	1,814408
5801,000000	1,691697
5802,000000	1,583639
5803,000000	1,472528
5804,000000	1,371795
5805,000000	1,279178
5806,000000	1,210012
5807,000000	1,128205
5808,000000	1,052216
5809,000000	0,976190
5810,000000	0,903541
5811,000000	0,824176
5812,000000	0,750916
5813,000000	0,682540
5814,000000	0,617827
5815,000000	0,548230
5816,000000	0,479243
5817,000000	0,409646
5818,000000	0,348596
5819,000000	0,285714
5820,000000	0,229548
5821,000000	0,181319
5822,000000	0,132874
5823,000000	0,089744
5824,000000	0,067155
5825,000000	0,050061
5826,000000	0,037851
5827,000000	0,020147
5828,000000	0,000000
5829,000000	0,026252
5830,000000	0,012210
5831,000000	0,034799
5832,000000	0,039072
5833,000000	0,062882
5834,000000	0,036630
5835,000000	0,035409
5836,000000	0,030525
5837,000000	0,023810
5838,000000	0,026862
5839,000000	0,026252
5840,000000	0,023810
5841,000000	0,027473
5842,000000	0,029915
5843,000000	0,030525
5844,000000	0,025641
5845,000000	0,026862
5846,000000	0,029304
5847,000000	0,024420
5848,000000	0,028694
5849,000000	0,023199
5850,000000	0,026252
5851,000000	0,028083
5852,000000	0,023810
5853,000000	0,026252
5854,000000	0,031746
5855,000000	0,026862
5856,000000	0,028083
5857,000000	0,028083
5858,000000	0,025641
5859,000000	0,021978
5860,000000	0,025641
