Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  14:50
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5410,000000	0,053114
5411,000000	0,054335
5412,000000	0,056166
5413,000000	0,048840
5414,000000	0,049558
5415,000000	0,048840
5416,000000	0,051282
5417,000000	0,050672
5418,000000	0,056166
5419,000000	0,057998
5420,000000	0,067766
5421,000000	0,085470
5422,000000	0,101343
5423,000000	0,137363
5424,000000	0,186813
5425,000000	0,236874
5426,000000	0,286325
5427,000000	0,336386
5428,000000	0,385226
5429,000000	0,437729
5430,000000	0,495727
5431,000000	0,543346
5432,000000	0,601343
5433,000000	0,655067
5434,000000	0,706960
5435,000000	0,762515
5436,000000	0,818681
5437,000000	0,875458
5438,000000	0,929182
5439,000000	0,989011
5440,000000	1,047619
5441,000000	1,105078
5442,000000	1,158730
5443,000000	1,217338
5444,000000	1,270452
5445,000000	1,330891
5446,000000	1,384005
5447,000000	1,442613
5448,000000	1,494506
5449,000000	1,545177
5450,000000	1,598291
5451,000000	1,650794
5452,000000	1,692308
5453,000000	1,743590
5454,000000	1,784493
5455,000000	1,816850
5456,000000	1,851648
5457,000000	1,866300
5458,000000	1,870574
5459,000000	1,864469
5460,000000	1,838217
5461,000000	1,802198
5462,000000	1,760073
5463,000000	1,714896
5464,000000	1,666056
5465,000000	1,617216
5466,000000	1,569597
5467,000000	1,517094
5468,000000	1,466422
5469,000000	1,413309
5470,000000	1,358364
5471,000000	1,304640
5472,000000	1,253968
5473,000000	1,201465
5474,000000	1,145910
5475,000000	1,093407
5476,000000	1,036020
5477,000000	0,981074
5478,000000	0,922466
5479,000000	0,871184
5480,000000	0,815018
5481,000000	0,761905
5482,000000	0,706349
5483,000000	0,657509
5484,000000	0,603175
5485,000000	0,549451
5486,000000	0,492674
5487,000000	0,446886
5488,000000	0,399267
5489,000000	0,347985
5490,000000	0,300977
5491,000000	0,257021
5492,000000	0,210623
5493,000000	0,172772
5494,000000	0,136896
5495,000000	0,100122
5496,000000	0,073260
5497,000000	0,052503
5498,000000	0,036020
5499,000000	0,026252
5500,000000	0,016484
