2s (ohne Reaktion)	
1	1.79
2	1.95
3	2.04
4	2.13
5	2.01
6	1.83
7	2.15
8	1.92
9	1.91
10	2.04
11	2.12
12	1.89
13	2.09
14	1.9
15	2.04
16	2.03
17	2.08
18	1.89
19	1.64
20	1.85
21	1.9
22	1.83
23	2.08
24	1.9
25	2.08
26	1.92
27	1.94
28	1.81
29	1.86
30	2.2
31	1.89
32	1.94
33	1.85
34	1.75
35	1.96
36	1.91
37	2
38	1.87
39	1.91
40	1.73
41	1.87
42	2.06
43	2.07
44	2.1
45	1.6
46	1.63
47	1.81
48	1.91
49	2.1
50	2.05
51	1.89
52	1.85
53	1.84
54	1.92
55	2.02
56	1.76
57	1.92
58	1.93
59	1.90
60	1.98
