wn/w3	s(wn/w3)	w3	s(w3)
-0.017337031	0.0000175958	62.83185307	0.062831853
-0.017093637	0.0000158685	69.11503838	0.062831853
-0.016475550	0.0000141107	75.39822369	0.062831853
-0.016243919	0.0000129577	81.68140899	0.062831853
-0.016005685	0.0000119820	87.9645943	0.062831853
-0.016422384	0.0000116719	94.24777961	0.062831853
-0.017055533	0.0000116315	100.5309649	0.062831853
-0.017124754	0.0000112395	106.8141502	0.062831853
-0.018028738	0.0000115996	113.0973355	0.062831853
-0.017966063	0.0000112703	119.3805208	0.062831853
-0.018358730	0.0000113887	125.6637061	0.062831853


	
