wn/w3	s(wn/w3)	w3	s(w3)
-0.017337032	0.0008797827	62.83185307	3.141592654
-0.017093637	0.0007934291	69.11503838	3.141592654
-0.016475550	0.0007055366	75.39822369	3.141592654
-0.016243919	0.0006478805	81.68140899	3.141592654
-0.016005685	0.0005991002	87.96459430	3.141592654
-0.016422384	0.0005835875	94.24777961	3.141592654
-0.017055533	0.0005815744	100.5309649	3.141592654
-0.017124754	0.0005619765	106.8141502	3.141592654
-0.018028738	0.0005799774	113.0973355	3.141592654
-0.017966062	0.0005635244	119.3805208	3.141592654
-0.018358730	0.0005694294	125.6637061	3.141592654

