wn/w3	s(wn/w3)	w3	s(w3)
-0.017337031	0.0008668568	62.83185307	3.141592654
-0.017093637	0.0007769902	69.11503838	3.141592654
-0.016475550	0.0006864890	75.39822369	3.141592654
-0.016243919	0.0006247755	81.68140899	3.141592654
-0.016005685	0.0005716429	87.9645943	3.141592654
-0.016422384	0.0005474277	94.24777961	3.141592654
-0.017055533	0.0005330057	100.5309649	3.141592654
-0.017124754	0.0005036939	106.8141502	3.141592654
-0.018028738	0.0005008324	113.0973355	3.141592654
-0.017966063	0.0004728309	119.3805208	3.141592654
-0.018358730	0.0004590177	125.6637061	3.141592654



	
