phi/grad,alpha/grad,Up/mV,s_{Up}/mV,Us/mV,s_{Us}/mV
15,30,246.03,0.02,331.25,0.1
20,40,3.53,0.02,357.37,0.1
25,50,138.03,0.02,395.66,0.1
30,60,136.79,0.02,448.21,0.1
35,70,135.66,0.02,511.9,0.1
40,80,98.6,0.02,577.7,0.1
45,90,55.43,0.02,693.8,0.1
50,100,22.56,0.02,840.6,0.1
55,110,0.62,0.02,1060.0,0.1
60,120,10.33,0.02,1267.7,0.1
65,130,98.59,0.02,1691.3,0.1
70,140,295.2,0.02,2181.3,0.1
75,150,830.6,0.02,2940.2,0.1
80,160,1556.3,0.02,6880.7,0.1
85,170,3302.6,0.02,4946.4,0.1
56,112,0.68,0.02,,
57,114,0.91,0.02,,
54,108,0.34,0.02,,
53,106,3.22,0.02,,
