Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  14:55
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5390,000000	0,015873
5391,000000	0,014652
5392,000000	0,022589
5393,000000	0,020757
5394,000000	0,020147
5395,000000	0,018926
5396,000000	0,020757
5397,000000	0,017094
5398,000000	0,017705
5399,000000	0,023199
5400,000000	0,016484
5401,000000	0,021368
5402,000000	0,017705
5403,000000	0,021978
5404,000000	0,026252
5405,000000	0,039072
5406,000000	0,056166
5407,000000	0,081197
5408,000000	0,112332
5409,000000	0,149573
5410,000000	0,189866
5411,000000	0,231990
5412,000000	0,275946
5413,000000	0,319902
5414,000000	0,368132
5415,000000	0,410867
5416,000000	0,460317
5417,000000	0,507326
5418,000000	0,558608
5419,000000	0,611722
5420,000000	0,656899
5421,000000	0,717338
5422,000000	0,764957
5423,000000	0,823565
5424,000000	0,875458
5425,000000	0,933455
5426,000000	0,987790
5427,000000	1,045788
5428,000000	1,096459
5429,000000	1,156288
5430,000000	1,213065
5431,000000	1,266789
5432,000000	1,324176
5433,000000	1,387057
5434,000000	1,441392
5435,000000	1,502442
5436,000000	1,556777
5437,000000	1,614774
5438,000000	1,667888
5439,000000	1,727106
5440,000000	1,786325
5441,000000	1,842491
5442,000000	1,887668
5443,000000	1,946886
5444,000000	2,006033
5445,000000	2,050061
5446,000000	2,101954
5447,000000	2,145299
5448,000000	2,193529
5449,000000	2,239316
5450,000000	2,287546
5451,000000	2,322344
5452,000000	2,355922
5453,000000	2,393773
5454,000000	2,424908
5455,000000	2,448718
5456,000000	2,479243
5457,000000	2,484737
5458,000000	2,485348
5459,000000	2,480464
5460,000000	2,463370
5461,000000	2,435897
5462,000000	2,399267
5463,000000	2,357143
5464,000000	2,304029
5465,000000	2,260684
5466,000000	2,217338
5467,000000	2,169719
5468,000000	2,123321
5469,000000	2,068376
5470,000000	2,025031
5471,000000	1,977411
5472,000000	1,927350
5473,000000	1,873626
5474,000000	1,824786
5475,000000	1,777167
5476,000000	1,720391
5477,000000	1,664225
5478,000000	1,614774
5479,000000	1,557387
5480,000000	1,507937
5481,000000	1,452991
5482,000000	1,401099
5483,000000	1,340049
5484,000000	1,283272
5485,000000	1,228938
5486,000000	1,177045
5487,000000	1,112548
5488,000000	1,064713
5489,000000	1,006105
5490,000000	0,954212
5491,000000	0,901099
5492,000000	0,846154
5493,000000	0,792430
5494,000000	0,743590
5495,000000	0,697192
5496,000000	0,650794
5497,000000	0,601954
5498,000000	0,559219
5499,000000	0,510379
5500,000000	0,475580
5501,000000	0,432845
5502,000000	0,398657
5503,000000	0,354090
5504,000000	0,318071
5505,000000	0,278388
5506,000000	0,249695
5507,000000	0,212454
5508,000000	0,179487
5509,000000	0,140415
5510,000000	0,114774
5511,000000	0,083028
5512,000000	0,063492
5513,000000	0,039072
5514,000000	0,028694
5515,000000	0,024420
5516,000000	0,018926
5517,000000	0,017094
5518,000000	0,018315
5519,000000	0,017705
5520,000000	0,015873
