Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  14:58
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5390,000000	0,102564
5391,000000	0,111722
5392,000000	0,109890
5393,000000	0,105006
5394,000000	0,105617
5395,000000	0,102995
5396,000000	0,104396
5397,000000	0,105617
5398,000000	0,108669
5399,000000	0,116606
5400,000000	0,129426
5401,000000	0,142857
5402,000000	0,169719
5403,000000	0,200855
5404,000000	0,230769
5405,000000	0,276557
5406,000000	0,318681
5407,000000	0,372405
5408,000000	0,418803
5409,000000	0,465812
5410,000000	0,517094
5411,000000	0,570818
5412,000000	0,615995
5413,000000	0,675214
5414,000000	0,728938
5415,000000	0,788156
5416,000000	0,843712
5417,000000	0,902930
5418,000000	0,959707
5419,000000	1,020757
5420,000000	1,081197
5421,000000	1,143468
5422,000000	1,206349
5423,000000	1,265568
5424,000000	1,330891
5425,000000	1,393162
5426,000000	1,462759
5427,000000	1,522589
5428,000000	1,588523
5429,000000	1,653846
5430,000000	1,724054
5431,000000	1,787546
5432,000000	1,854701
5433,000000	1,917582
5434,000000	1,981074
5435,000000	2,051282
5436,000000	2,111111
5437,000000	2,178266
5438,000000	2,240537
5439,000000	2,302808
5440,000000	2,362637
5441,000000	2,416972
5442,000000	2,477411
5443,000000	2,531135
5444,000000	2,567766
5445,000000	2,626374
5446,000000	2,673382
5447,000000	2,725885
5448,000000	2,769231
5449,000000	2,816239
5450,000000	2,854090
5451,000000	2,898046
5452,000000	2,934676
5453,000000	2,970696
5454,000000	2,996947
5455,000000	3,020146
5456,000000	3,043345
5457,000000	3,059829
5458,000000	3,070208
5459,000000	3,059829
5460,000000	3,039682
5461,000000	3,015873
5462,000000	2,976801
5463,000000	2,937118
5464,000000	2,899267
5465,000000	2,854090
5466,000000	2,802198
5467,000000	2,760073
5468,000000	2,710623
5469,000000	2,663004
5470,000000	2,605006
5471,000000	2,549451
5472,000000	2,498168
5473,000000	2,445055
5474,000000	2,393773
5475,000000	2,338828
5476,000000	2,278999
5477,000000	2,224054
5478,000000	2,161783
5479,000000	2,108669
5480,000000	2,047009
5481,000000	1,986569
5482,000000	1,931624
5483,000000	1,867521
5484,000000	1,806471
5485,000000	1,738706
5486,000000	1,675824
5487,000000	1,611111
5488,000000	1,549451
5489,000000	1,485959
5490,000000	1,423077
5491,000000	1,357143
5492,000000	1,298535
5493,000000	1,241758
5494,000000	1,177045
5495,000000	1,115995
5496,000000	1,063492
5497,000000	1,000611
5498,000000	0,952381
5499,000000	0,892552
5500,000000	0,844322
5501,000000	0,787546
5502,000000	0,738095
5503,000000	0,688645
5504,000000	0,645299
5505,000000	0,601343
5506,000000	0,554335
5507,000000	0,514652
5508,000000	0,477052
5509,000000	0,442002
5510,000000	0,395604
5511,000000	0,363248
5512,000000	0,327228
5513,000000	0,286935
5514,000000	0,254579
5515,000000	0,221001
5516,000000	0,184982
5517,000000	0,153846
5518,000000	0,123932
5519,000000	0,090354
5520,000000	0,063492
