Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  14:19
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5700,000000	0,013934
5701,000000	0,000000
5702,000000	0,013431
5703,000000	0,038462
5704,000000	0,034799
5705,000000	0,015873
5706,000000	0,013431
5707,000000	0,012210
5708,000000	0,018926
5709,000000	0,015263
5710,000000	0,022589
5711,000000	0,017705
5712,000000	0,023199
5713,000000	0,021978
5714,000000	0,019536
5715,000000	0,021368
5716,000000	0,019536
5717,000000	0,019536
5718,000000	0,018315
5719,000000	0,018315
5720,000000	0,017094
5721,000000	0,024420
5722,000000	0,018926
5723,000000	0,015263
5724,000000	0,009768
5725,000000	0,000000
5726,000000	0,010989
5727,000000	0,025641
5728,000000	0,020757
5729,000000	0,017381
5730,000000	0,019536
5731,000000	0,018315
5732,000000	0,019536
5733,000000	0,020147
5734,000000	0,017705
5735,000000	0,010379
5736,000000	0,021368
5737,000000	0,029448
5738,000000	0,028694
5739,000000	0,015873
5740,000000	0,015873
5741,000000	0,014042
5742,000000	0,026252
5743,000000	0,018926
5744,000000	0,011600
5745,000000	0,006105
5746,000000	0,010989
5747,000000	0,020757
5748,000000	0,020757
5749,000000	0,030525
5750,000000	0,051893
5751,000000	0,016484
5752,000000	0,017094
5753,000000	0,020147
5754,000000	0,015873
5755,000000	0,018926
5756,000000	0,023810
5757,000000	0,030525
5758,000000	0,040904
5759,000000	0,062271
5760,000000	0,092186
5761,000000	0,135531
5762,000000	0,182540
5763,000000	0,269626
5764,000000	0,320513
5765,000000	0,382784
5766,000000	0,452991
5767,000000	0,507937
5768,000000	0,576313
5769,000000	0,620879
5770,000000	0,633089
5771,000000	0,650183
5772,000000	0,663004
5773,000000	0,628816
5774,000000	0,578144
5775,000000	0,514042
5776,000000	0,449328
5777,000000	0,374237
5778,000000	0,320513
5779,000000	0,269231
5780,000000	0,228938
5781,000000	0,191087
5782,000000	0,180565
5783,000000	0,184982
5784,000000	0,232601
5785,000000	0,285714
5786,000000	0,352869
5787,000000	0,423687
5788,000000	0,490843
5789,000000	0,559219
5790,000000	0,609890
5791,000000	0,649573
5792,000000	0,677656
5793,000000	0,683761
5794,000000	0,658120
5795,000000	0,612655
5796,000000	0,550061
5797,000000	0,474359
5798,000000	0,404151
5799,000000	0,322955
5800,000000	0,263126
5801,000000	0,195971
5802,000000	0,142857
5803,000000	0,094951
5804,000000	0,058608
5805,000000	0,042735
5806,000000	0,041514
5807,000000	0,026252
5808,000000	0,026575
5809,000000	0,011600
5810,000000	0,022589
5811,000000	0,017705
5812,000000	0,018926
5813,000000	0,022589
5814,000000	0,025641
5815,000000	0,017094
5816,000000	0,014652
5817,000000	0,026862
5818,000000	0,019536
5819,000000	0,018926
5820,000000	0,012821
5821,000000	0,019536
5822,000000	0,016484
5823,000000	0,018926
5824,000000	0,010379
5825,000000	0,003053
5826,000000	0,018926
5827,000000	0,029915
5828,000000	0,025031
5829,000000	0,019536
5830,000000	0,017956
5831,000000	0,021368
5832,000000	0,021368
5833,000000	0,001832
5834,000000	0,020147
5835,000000	0,022589
5836,000000	0,037241
5837,000000	0,026862
5838,000000	0,037851
5839,000000	0,015263
5840,000000	0,011600
5841,000000	0,018315
5842,000000	0,003591
5843,000000	0,011600
5844,000000	0,012821
5845,000000	0,012821
5846,000000	0,007326
5847,000000	0,083639
5848,000000	0,000000
5849,000000	0,007937
5850,000000	0,023199
5851,000000	0,059219
5852,000000	0,000611
5853,000000	0,038462
5854,000000	0,020147
5855,000000	0,020757
5856,000000	0,013431
5857,000000	0,019536
5858,000000	0,014508
5859,000000	0,018926
5860,000000	0,019536
