Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  15:11
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5370,000000	0,020147
5371,000000	0,021403
5372,000000	0,020757
5373,000000	0,015873
5374,000000	0,020757
5375,000000	0,018926
5376,000000	0,020147
5377,000000	0,021368
5378,000000	0,021368
5379,000000	0,021368
5380,000000	0,018315
5381,000000	0,020757
5382,000000	0,020757
5383,000000	0,021978
5384,000000	0,023199
5385,000000	0,029304
5386,000000	0,043346
5387,000000	0,051282
5388,000000	0,073871
5389,000000	0,094628
5390,000000	0,112332
5391,000000	0,137973
5392,000000	0,160562
5393,000000	0,188034
5394,000000	0,216728
5395,000000	0,243590
5396,000000	0,270452
5397,000000	0,300366
5398,000000	0,330281
5399,000000	0,358364
5400,000000	0,394383
5401,000000	0,430403
5402,000000	0,463370
5403,000000	0,502442
5404,000000	0,534799
5405,000000	0,576923
5406,000000	0,612943
5407,000000	0,650183
5408,000000	0,691697
5409,000000	0,731990
5410,000000	0,777778
5411,000000	0,819292
5412,000000	0,861416
5413,000000	0,908425
5414,000000	0,948718
5415,000000	0,997558
5416,000000	1,042125
5417,000000	1,095238
5418,000000	1,136142
5419,000000	1,191697
5420,000000	1,236874
5421,000000	1,282662
5422,000000	1,335165
5423,000000	1,387668
5424,000000	1,440171
5425,000000	1,489622
5426,000000	1,540904
5427,000000	1,597680
5428,000000	1,650794
5429,000000	1,697192
5430,000000	1,749084
5431,000000	1,797924
5432,000000	1,849817
5433,000000	1,905480
5434,000000	1,948107
5435,000000	2,000611
5436,000000	2,045788
5437,000000	2,092186
5438,000000	2,137363
5439,000000	2,181319
5440,000000	2,219780
5441,000000	2,263736
5442,000000	2,305861
5443,000000	2,344322
5444,000000	2,379731
5445,000000	2,415751
5446,000000	2,449328
5447,000000	2,480464
5448,000000	2,509157
5449,000000	2,533578
5450,000000	2,561050
5451,000000	2,585470
5452,000000	2,609890
5453,000000	2,627595
5454,000000	2,650183
5455,000000	2,659951
5456,000000	2,667277
5457,000000	2,671551
5458,000000	2,678266
5459,000000	2,662393
5460,000000	2,658730
5461,000000	2,637973
5462,000000	2,622711
5463,000000	2,603175
5464,000000	2,578144
5465,000000	2,552503
5466,000000	2,526862
5467,000000	2,501221
5468,000000	2,471917
5469,000000	2,443834
5470,000000	2,407204
5471,000000	2,374847
5472,000000	2,339438
5473,000000	2,310134
5474,000000	2,268620
5475,000000	2,233211
5476,000000	2,197192
5477,000000	2,153846
5478,000000	2,119658
5479,000000	2,073260
5480,000000	2,036630
5481,000000	1,996337
5482,000000	1,957875
5483,000000	1,908425
5484,000000	1,868742
5485,000000	1,820513
5486,000000	1,785104
5487,000000	1,734432
5488,000000	1,685592
5489,000000	1,636142
5490,000000	1,595849
5491,000000	1,548840
5492,000000	1,505495
5493,000000	1,456044
5494,000000	1,413309
5495,000000	1,364469
5496,000000	1,318071
5497,000000	1,271673
5498,000000	1,230159
5499,000000	1,182540
5500,000000	1,141636
5501,000000	1,094735
5502,000000	1,054335
5503,000000	1,015263
5504,000000	0,973138
5505,000000	0,933276
5506,000000	0,896215
5507,000000	0,856532
5508,000000	0,819507
5509,000000	0,786935
5510,000000	0,747863
5511,000000	0,714896
5512,000000	0,681319
5513,000000	0,648352
5514,000000	0,613553
5515,000000	0,587912
5516,000000	0,559219
5517,000000	0,529915
5518,000000	0,493895
5519,000000	0,460928
5520,000000	0,436508
5521,000000	0,407814
5522,000000	0,374237
5523,000000	0,346764
5524,000000	0,318071
5525,000000	0,291209
5526,000000	0,266178
5527,000000	0,242979
5528,000000	0,216728
5529,000000	0,186813
5530,000000	0,161172
5531,000000	0,139805
5532,000000	0,118437
5533,000000	0,096459
5534,000000	0,072542
5535,000000	0,056777
5536,000000	0,039072
5537,000000	0,023810
5538,000000	0,021368
5539,000000	0,020147
5540,000000	0,021978
