index,x(A/Hz/V/nm),yai0(V),yai1(V),yai3(V),yai4(V),yext(V),yai4_max(V),lambda(nm),freq(THz)
70,116.5437,0.1121,-0.0006937857527615984,6.214247238400805e-06,-0.004588003359126291,,,780.2401278604651,384.2310172152715
71,116.5545,0.1126,-0.0006062200163060444,-6.220016306041076e-06,-0.0044412826954339235,,,780.2401379069768,384.23101226784416
72,116.5685,0.1122,-0.0007223385060858775,-2.2338506085878285e-05,-0.004510348501758632,,,780.2401509302326,384.2310058545126
73,116.5838,0.112,-0.0006399537127738247,6.00462872261745e-05,-0.0044858275615277665,,,780.2401651627907,384.2309988456577
74,116.5918,0.1118,-0.0006491642783623269,5.0835721637672304e-05,-0.004425293736570579,,,780.2401726046512,384.230995180897
75,116.6009,0.1117,-0.0006596412967192072,4.0358703280791997e-05,-0.004470186510681595,,,780.2401810697675,384.23099101223187
76,116.6146,0.1118,-0.0006754143902894666,2.458560971053264e-05,-0.004537772335442225,,,780.2401938139535,384.23098473632956
77,116.6241,0.1119,-0.0006863519369258025,1.3648063074196692e-05,-0.00458463841830542,,,780.2402026511628,384.2309803844267
79,116.645,0.1128,-0.0006104145395257055,-1.0414539525709088e-05,-0.004387743800604471,,-0.004387743800604471,780.2402220930234,384.2309708102405
80,116.6551,0.1141,-0.0006220428785811694,-2.2042878581172987e-05,-0.0046375698465958015,,,780.2402314883722,384.23096618348086
81,116.6657,0.1141,-0.0006342468779858834,-3.424687798588705e-05,-0.004789862528527478,,,780.2402413488372,384.23096132767387
82,116.6754,0.1133,-0.0006454146887619194,-4.541468876192306e-05,-0.00493771526576664,,,780.2402503720931,384.2309568841525
83,116.6854,0.114,-0.0006569278957475333,4.307210425246594e-05,-0.005187047984570092,,,780.2402596744187,384.2309523032026
84,116.6945,0.1141,-0.0006674049141044136,3.259508589558563e-05,-0.005431940758681142,,,780.2402681395349,384.23094813453844
