index,x(A/Hz/V/nm),yai0(V),yai1(V),yai3(V),yai4(V),yext(V),lambda(nm),freq(THz)
469,117.2218,0.1323,-0.0006118117465520184,-1.1811746552015112e-05,-0.0048049564995460425,,780.2407586511629,384.2307065812156
470,117.2414,0.1324,-0.0006352933314048431,-3.529333140483981e-05,-0.004299497430334809,,780.240776883721,384.2306976025658
471,117.2585,0.1326,-0.0006557798161489076,-5.577981614890426e-05,-0.003981979568931204,,780.2407927906977,384.2306897691523
472,117.2779,0.1331,-0.0006790217929930759,-7.902179299307255e-05,-0.0037755557963445874,,780.2408108372093,384.2306808821221
473,117.2992,0.1332,-0.0007045400459198964,-0.00010454004591989308,-0.003878296705824291,,780.2408306511628,384.23067112471324
474,117.318,0.1334,-0.0007270631987379289,-0.0001270631987379256,-0.004168978823111513,,780.2408481395349,384.2306625125405
475,117.3371,0.1338,-0.0007499457635690293,-0.000149945763569026,-0.004461107995461844,,780.2408659069768,384.2306537629399
476,117.3557,0.1341,-0.0007722293083783499,-0.0001722293083783466,-0.004750825409373716,,780.2408832093024,384.23064524238674
477,117.3766,0.1343,-0.0007972683452877743,-0.00019726834528777104,-0.005051636912102586,,780.2409026511629,384.23063566821736
478,117.3947,0.134,-0.0008189528700753429,-0.0002189528700753396,-0.005238942567575899,,780.2409194883721,384.23062737671216
479,117.415,0.134,-0.0008432730829586593,-0.00024327308295865602,-0.005236859960178697,,780.2409383720931,384.23061807740015
480,117.4326,0.134,-0.0008643585877244758,-0.0002643585877244725,-0.005121753857213529,,780.2409547441861,384.23061001494284
481,117.4518,0.1344,-0.0008873609565599322,-0.0002873609565599289,-0.004714365381251584,,780.2409726046512,384.2306012195352
482,117.4731,0.1348,-0.0009128792094867527,-0.0003128792094867494,-0.004117106290731254,,780.2409924186047,384.2305914621303
483,117.4907,0.1346,-0.0009339647142525692,-0.00043396471425256877,-0.0036020001877660746,,780.2410087906977,384.23058339967406
484,117.5085,0.1349,-0.0009552898270270976,-0.0004552898270270972,-0.0033878587881763234,,780.2410253488373,384.23057524559937
485,117.5281,0.1352,-0.001078771411879946,-0.00047877141187994965,-0.0032823997189651566,,780.2410435813954,384.2305662669557
486,117.5501,0.1354,-0.0011051282928372305,-0.0005051282928372341,-0.003388517090258669,,780.2410640465117,384.23055618888674
487,117.567,0.1354,-0.001125375169572583,-0.0005253751695725867,-0.003670034525479704,,780.2410797674419,384.2305484470979
488,117.5855,0.1357,-0.0011475389103775754,-0.000647538910377575,-0.0039592695877038175,,780.2410969767442,384.23053997235877
489,117.6048,0.1361,-0.00117066108321736,-0.0006706610832173596,-0.004552363463429576,,780.2411149302326,384.23053113114497
490,117.6243,0.136,-0.0012940228640658871,-0.0006940228640658838,-0.004846422042530718,,780.2411330697674,384.23052219831277
491,117.6455,0.1369,-0.001319421312988324,-0.0008194213129883235,-0.004848680600322619,,780.2411527906977,384.23051248672135
492,117.6635,0.1381,-0.0014409860337715671,-0.0008409860337715638,-0.0046355039041083845,,780.2411695348837,384.23050424103087
493,117.6818,0.139,-0.0014629101665678476,-0.0009629101665678472,-0.0040237742629570805,,780.2411865581396,384.2304958579125
494,117.7016,0.1385,-0.001586631359429408,-0.0009866313594294115,-0.0035192798971212524,,780.2412049767443,384.2304867876538
495,117.7203,0.1383,-0.0016090347082430845,-0.001109034708243084,-0.0032094796627207822,,780.241222372093,384.23047822129877
496,117.7397,0.1382,-0.0017322766850872279,-0.0011322766850872246,-0.002903055890134232,,780.2412404186047,384.2304693342784
497,117.7573,0.1382,-0.0017533621898530721,-0.0012533621898530717,-0.002887949787169053,,780.2412567906978,384.2304612718272
498,117.7765,0.1386,-0.0018763645586884967,-0.0013763645586884962,-0.0030805613112070973,,780.2412746511628,384.2304524764264
499,117.7982,0.1394,-0.002002362027632716,-0.0015023620276327157,-0.003685231627437502,,780.2412948372094,384.23044253579155
500,117.815,0.1399,-0.0020224891003637405,-0.0016224891003637429,-0.004166266710970812,,780.2413104651164,384.23043483981655
501,117.8342,0.1403,-0.002145491469199172,-0.0016454914691991715,-0.004358878235008856,,780.2413283255814,384.230426044417
502,117.8536,0.1406,-0.002268733446043336,-0.0017687334460433357,-0.004352454462422328,,780.2413463720931,384.230417157399
503,117.8721,0.1408,-0.0023908971868483314,-0.001890897186848331,-0.004241689524646486,,780.2413635813954,384.2304086826658
504,117.8935,0.1417,-0.002516535243779504,-0.0020165352437795034,-0.003944912785813881,,780.2413834883721,384.2303988794614
505,117.9109,0.1429,-0.0026373811405366113,-0.0022373811405366067,-0.003428841979473296,,780.2413996744186,384.23039090863193
506,117.9288,0.1432,-0.0027588260573154916,-0.002358826057315494,-0.003115182931571203,,780.2414163255814,384.230382708756
507,117.9458,0.1433,-0.002879192738055203,-0.0024791927380552053,-0.002697182718480018,,780.2414321395349,384.2303749211647
508,117.9668,0.1437,-0.003004351578968986,-0.0026043515789689817,-0.0024984765728966463,,780.2414516744186,384.2303653011994
509,117.9861,0.144,-0.0031274737518087667,-0.002827473751808765,-0.0025915704486222935,,780.241469627907,384.23035645999363
