f/kHz    ,U_a/div,  U_a(ein)/(mV/Div),U_a/mV,sU_a/mV,U_e /mV,sU_e,v,s_v
0.01,4.9,2000,9800,1023.150038,100,10.44030651,98,14.4695266
100,3.05,1000,3050,318.4293485,100,10.44030651,30.5,4.503271033
200,3.1,500,1550,161.8247509,100,10.44030651,15.5,2.288547574
300,5,200,1000,104.4030651,100,10.44030651,10,1.476482306
400,3.7,200,740,77.25826817,100,10.44030651,7.4,1.092596906
500,5.5,100,550,57.4216858,100,10.44030651,5.5,0.812065268
600,4.5,100,450,46.98137929,100,10.44030651,4.5,0.664417038
700,3.7,100,370,38.62913408,100,10.44030651,3.7,0.546298453
800,3,100,300,31.32091953,100,10.44030651,3,0.442944692
900,5.1,50,255,26.6227816,100,10.44030651,2.55,0.376502988
1000,4.4,50,220,22.96867432,100,10.44030651,2.2,0.324826107
1100,3.8,50,190,19.83658237,100,10.44030651,1.9,0.280531638
1200,3.4,50,170,17.74852107,100,10.44030651,1.7,0.251001992
1300,3,50,150,15.66045976,100,10.44030651,1.5,0.221472346
1400,2.8,50,140,14.61642911,100,10.44030651,1.4,0.206707523
1500,2.4,50,120,12.52836781,100,10.44030651,1.2,0.177177877
1600,5.4,20,108,11.27553103,100,10.44030651,1.08,0.159460089
1700,5,20,100,10.44030651,100,10.44030651,1,0.147648231
1800,4.6,20,92,9.605081988,100,10.44030651,0.92,0.135836372
50,5.4,1000,5400,563.7765515,100,10.44030651,54,7.973004453
25,4,2000,8000,835.2245207,100,10.44030651,80,11.81185845
40,3.2,2000,6400,668.1796166,100,10.44030651,64,9.449486759
33.3,3.5,2000,7000,730.8214556,100,10.44030651,70,10.33537614
