f/kHz   U_a/Div   U_a(ein)/(mV/Div)
0   ,01   4   ,6   2000
1000   3   ,6   20
2000   5   ,0   10
3000   4   ,2   10
4000   4   ,4   10
5000   4   ,0   10
6000   4   ,0   10
7000   4   ,2   10
8000   3   ,8   10
9000   3   ,8   10
10000   3   ,8   10
11000   3   ,8   10
12000   3   ,8   10
13000   3   ,8   10
14000   3   ,8   10
15000   3   ,8   10
16000   3   ,8   10
17000   3   ,7   10
18000   3   ,7   10
19000   3   ,7   10
20000   3   ,7   10
200   6   ,5   50
400   3   ,4   50
600   1   ,4   100
800   4   ,3   20
10   5   ,2   1000
5   3   ,8   2000
4   4   ,2   2000
3   4   ,35   2000

