Phi/grad;Upl/mV;s_{Upl}/mV;Up1/mV;s_{Up1}/mV;Up2/mV;s_{Up2}/mV;Usl/mV;s_{Usl}/mV;Us1/mV;s_{Us1}/mV;Us2/mV;s_{Us2}/mV
30;23,54;2;194,5;2;86,9;0,5;33,06;0,5;302,02;5;310,55;5
35;17,02;2;167,69;2;72,2;0,5;26,96;0,5;287,66;5;285,23;5
40;13,56;0,5;143,2;2;65,21;0,5;24,6;0,5;278,96;5;270,5;5
45;12,25;0,5;118,5;2;52,26;0,5;18,6;0,5;266,78;5;237,34;5
50;7,1;0,5;95,91;2;41,8;0,5;15,53;0,5;258,3;5;222,4;5
55;4,55;0,5;77,7;2;30,08;0,5;10,61;0,5;253,33;5;209,39;5
60;4,11;0,5;58,05;2;22,5;0,5;8,2;0,5;247,01;5;193,2;5
65;3,46;0,5;42,16;2;15,1;0,5;7,25;0,5;240,13;5;214,55;5
70;3,33;0,5;31,27;0,5;11,44;0,5;6,9;0,5;214,43;5;193,1;5
75;3,12;0,5;21,81;0,5;8,15;0,5;6,17;0,5;206,54;5;190,1;5
80;2,83;0,5;14,51;0,5;5,7;0,5;5,55;0,5;198,11;5;177,69;5
85;2,76;0,5;9,76;0,5;4,31;0,5;5,42;0,5;190,15;5;161,04;5
90;2,8;0,5;7,55;0,5;3,69;0,5;5,55;0,5;187,1;5;162,9;5
95;2,6;0,5;7,4;0,5;3,48;0,5;5,82;0,5;185,6;5;168,05;5
100;2,7;0,5;9,03;0,5;4,15;0,5;6,73;0,5;184,01;5;162,23;5
105;2,9;0,5;12,3;0,5;5,68;0,5;7,51;0,5;181,42;5;150,27;5
110;3,68;0,5;19,42;0,5;9,19;0,5;10,44;0,5;182,1;5;141,13;5
115;6,41;0,5;29,67;0,5;15,94;0,5;16,26;0,5;191,45;5;151,4;5
120;7,58;0,5;36,25;0,5;16,6;0,5;22,96;0,5;193,14;5;151,33;5
125;9,73;0,5;46,71;0,5;21,2;0,5;28,3;0,5;189,77;5;151,6;5
130;13,3;0,5;60,62;2;27,38;0,5;33,69;0,5;194,29;5;159,43;5
135;19,67;0,5;71,1;2;37,55;0,5;68,01;2;207,32;5;185,5;5
140;29,82;0,5;93,73;2;51,08;0,5;72,21;2;211,36;5;183,2;5
145;58,78;2;127,67;2;73,01;2;104,2;2;240,28;5;238,25;5
150;73,67;2;154,1;2;98,17;2;186,6;2;308,1;5;321,42;5
