,Unnamed: 0,Phi/grad,P_1,P_2,s_Phi,s_P_1,s_P_2
1,1,30,0.22276777595926528,0.6282235587501833,1,5.216757518430337,3.8415131531299336
2,2,35,0.26747210540389443,0.6479183282820227,1,5.138186595671793,3.8303362692858034
3,3,40,0.32479166666666676,0.6528314568980003,1,4.355536016234428,2.099811264084179
4,4,45,0.4004457861919138,0.690743961352657,1,4.172745306925165,1.9606631102209713
5,5,50,0.46432233548464924,0.7127126712754068,1,4.044566878038654,1.8843237727704631
6,6,55,0.5368347737993479,0.7723685970308948,1,3.931232751193092,1.696761805975468
7,7,60,0.6314944491887275,0.8191651506957078,1,3.8394527858902743,1.5749245383529484
8,8,65,0.7150011046468813,0.8936694984927379,1,3.8145953526417022,1.4416910270297907
9,9,70,0.7626873911750967,0.9165251402398228,1,1.7249766942665328,1.4186182097161173
10,10,75,0.8293618186798137,0.9467612193056731,1,1.5519331178112488,1.4023221486820268
11,11,80,0.8856247551899725,0.9672018741786184,1,1.4519308518255278,1.4007510351897523
12,12,85,0.9269806498722162,0.9802761341222879,1,1.4111186364694297,1.4037698577535767
13,13,90,0.9490069779924852,0.9887512639029324,1,1.4017743682709913,1.4073950333677598
14,14,95,0.9479900314226892,0.9892097357611428,1,1.4020109704471857,1.4076283383523696
15,15,100,0.9310495071074559,0.9815227779547628,1,1.4087295353688813,1.4042210670236837
16,16,105,0.8974414925535976,0.961797444001649,1,1.4372640178252791,1.400419703727094
17,17,110,0.832017075773746,0.9190895741556535,1,1.54617412326726,1.4165985480462981
18,18,115,0.7655832703451751,0.8682518835971521,1,1.7164381787872465,1.47765391625324
19,19,120,0.7116419411616798,0.8686949559647718,1,1.8879634298156358,1.476938061530914
20,20,125,0.6273116654069035,0.8297840765749053,1,2.1980015116952343,1.5510108843192707
21,21,130,0.5448249326664102,0.798598197682735,1,3.920964414787776,1.6253262931682424
22,22,135,0.4607318863374227,0.7358351185639358,1,4.183524571455855,1.8789016026284344
23,23,140,0.37053087757313125,0.6784877126654063,1,4.412903598958125,2.0991414619055377
24,24,145,0.32780406888812996,0.808065821418937,1,5.2161367780325945,5.217388164109195
25,25,150,0.20338731243500244,0.6924428822495606,1,5.476156465581734,5.065377904668849
