Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  14:09
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5700,000000	0,028694
5705,000000	0,026252
5710,000000	0,021978
5715,000000	0,026252
5720,000000	0,028694
5725,000000	0,034188
5730,000000	0,075092
5735,000000	0,308303
5740,000000	0,621490
5745,000000	0,965201
5750,000000	1,333333
5755,000000	1,873016
5760,000000	2,526862
5765,000000	3,115995
5770,000000	3,459707
5775,000000	3,520649
5780,000000	3,612943
5785,000000	3,539682
5790,000000	3,317460
5795,000000	2,740537
5800,000000	2,089133
5805,000000	1,495798
5810,000000	1,061661
5815,000000	0,701465
5820,000000	0,372405
5825,000000	0,115995
5830,000000	0,031136
5835,000000	0,030525
5840,000000	0,028694
5845,000000	0,029304
5850,000000	0,026252
5855,000000	0,023810
5860,000000	0,032967
5865,000000	0,023199
5870,000000	0,028694
5875,000000	0,027473
5880,000000	0,023810
5885,000000	0,024420
5890,000000	0,026252
5895,000000	0,027473
5900,000000	0,015873
