Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  14:46
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5410,000000	0,022589
5411,000000	0,023810
5412,000000	0,019536
5413,000000	0,018926
5414,000000	0,023199
5415,000000	0,020147
5416,000000	0,023810
5417,000000	0,019536
5418,000000	0,021978
5419,000000	0,018926
5420,000000	0,025641
5421,000000	0,031136
5422,000000	0,025031
5423,000000	0,026252
5424,000000	0,030525
5425,000000	0,034799
5426,000000	0,050133
5427,000000	0,085470
5428,000000	0,137363
5429,000000	0,227717
5430,000000	0,329060
5431,000000	0,467033
5432,000000	0,612943
5433,000000	0,768010
5434,000000	0,927961
5435,000000	1,083639
5436,000000	1,238095
5437,000000	1,409035
5438,000000	1,568987
5439,000000	1,735653
5440,000000	1,902320
5441,000000	2,074481
5442,000000	2,239316
5443,000000	2,413309
5444,000000	2,578144
5445,000000	2,753968
5446,000000	2,921856
5447,000000	3,092186
5448,000000	3,264957
5449,000000	3,433312
5450,000000	3,593406
5451,000000	3,752747
5452,000000	3,912088
5453,000000	4,067155
5454,000000	4,203907
5455,000000	4,343712
5456,000000	4,445055
5457,000000	4,523199
5458,000000	4,561661
5459,000000	4,547619
5460,000000	4,488401
5461,000000	4,393773
5462,000000	4,269841
5463,000000	4,123321
5464,000000	3,974969
5465,000000	3,822308
5466,000000	3,667888
5467,000000	3,506715
5468,000000	3,351648
5469,000000	3,184371
5470,000000	3,034798
5471,000000	2,863248
5472,000000	2,698413
5473,000000	2,529304
5474,000000	2,379121
5475,000000	2,210623
5476,000000	2,042735
5477,000000	1,881563
5478,000000	1,714286
5479,000000	1,553724
5480,000000	1,398046
5481,000000	1,239927
5482,000000	1,089744
5483,000000	0,932234
5484,000000	0,783883
5485,000000	0,634310
5486,000000	0,507326
5487,000000	0,377289
5488,000000	0,269841
5489,000000	0,175214
5490,000000	0,112332
5491,000000	0,067766
5492,000000	0,039072
5493,000000	0,026862
5494,000000	0,019536
5495,000000	0,021368
5496,000000	0,019536
5497,000000	0,019105
5498,000000	0,021368
5499,000000	0,021978
5500,000000	0,017705
