Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  14:26
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5700,000000	0,019536
5701,000000	0,018315
5702,000000	0,018926
5703,000000	0,000000
5704,000000	0,009768
5705,000000	0,029304
5706,000000	0,009158
5707,000000	0,017956
5708,000000	0,025031
5709,000000	0,023127
5710,000000	0,020147
5711,000000	0,016484
5712,000000	0,015873
5713,000000	0,022589
5714,000000	0,022589
5715,000000	0,018315
5716,000000	0,019536
5717,000000	0,020147
5718,000000	0,021368
5719,000000	0,021403
5720,000000	0,021368
5721,000000	0,020757
5722,000000	0,018315
5723,000000	0,021978
5724,000000	0,020757
5725,000000	0,019680
5726,000000	0,019536
5727,000000	0,017705
5728,000000	0,018315
5729,000000	0,016484
5730,000000	0,021368
5731,000000	0,018926
5732,000000	0,021368
5733,000000	0,021368
5734,000000	0,016484
5735,000000	0,020147
5736,000000	0,022589
5737,000000	0,023199
5738,000000	0,021368
5739,000000	0,020147
5740,000000	0,017094
5741,000000	0,025426
5742,000000	0,021978
5743,000000	0,022589
5744,000000	0,023199
5745,000000	0,023199
5746,000000	0,029304
5747,000000	0,040904
5748,000000	0,052503
5749,000000	0,076313
5750,000000	0,105006
5751,000000	0,153846
5752,000000	0,222833
5753,000000	0,293040
5754,000000	0,351648
5755,000000	0,444444
5756,000000	0,490843
5757,000000	0,558644
5758,000000	0,628816
5759,000000	0,695971
5760,000000	0,760325
5761,000000	0,830891
5762,000000	0,899878
5763,000000	0,963980
5764,000000	1,032967
5765,000000	1,089133
5766,000000	1,141026
5767,000000	1,189255
5768,000000	1,222222
5769,000000	1,239927
5770,000000	1,245421
5771,000000	1,236874
5772,000000	1,228327
5773,000000	1,219170
5774,000000	1,216728
5775,000000	1,216117
5776,000000	1,216117
5777,000000	1,214896
5778,000000	1,216117
5779,000000	1,215507
5780,000000	1,219170
5781,000000	1,222222
5782,000000	1,221001
5783,000000	1,228327
5784,000000	1,232062
5785,000000	1,239532
5786,000000	1,246642
5787,000000	1,253896
5788,000000	1,261294
5789,000000	1,274725
5790,000000	1,274115
5791,000000	1,269231
5792,000000	1,228615
5793,000000	1,176435
5794,000000	1,114774
5795,000000	1,057998
5796,000000	0,971917
5797,000000	0,898046
5798,000000	0,830891
5799,000000	0,758242
5800,000000	0,684371
5801,000000	0,607448
5802,000000	0,535409
5803,000000	0,460928
5804,000000	0,390720
5805,000000	0,316742
5806,000000	0,255189
5807,000000	0,193529
5808,000000	0,137973
5809,000000	0,089780
5810,000000	0,059326
5811,000000	0,037241
5812,000000	0,030525
5813,000000	0,022589
5814,000000	0,038462
5815,000000	0,028694
5816,000000	0,023810
5817,000000	0,027473
5818,000000	0,020757
5819,000000	0,016232
5820,000000	0,020147
5821,000000	0,019536
5822,000000	0,024276
5823,000000	0,018315
5824,000000	0,018315
5825,000000	0,020147
5826,000000	0,017094
5827,000000	0,021978
5828,000000	0,020757
5829,000000	0,014652
5830,000000	0,025641
5831,000000	0,023810
5832,000000	0,020147
5833,000000	0,003053
5834,000000	0,000000
5835,000000	0,000000
5836,000000	0,010989
5837,000000	0,015263
5838,000000	0,138584
5839,000000	0,045536
5840,000000	0,031136
5841,000000	0,023702
5842,000000	0,025641
5843,000000	0,019536
5844,000000	0,017094
5845,000000	0,021978
5846,000000	0,021368
5847,000000	0,019536
5848,000000	0,019536
5849,000000	0,021368
5850,000000	0,021978
5851,000000	0,024420
5852,000000	0,023199
5853,000000	0,023810
5854,000000	0,024420
5855,000000	0,019536
5856,000000	0,021368
5857,000000	0,020147
5858,000000	0,017381
5859,000000	0,023810
5860,000000	0,023199
