Spektrum aufgenommen für  MESS   vom Mittwoch, 24. März 2021 um  14:40
Start=9000; Stop=3000; Step=5; Delay=250
Wellenlänge [Ä]  	Meßwert [mV]  
5435,000000	0,216117
5436,000000	0,247863
5437,000000	0,227717
5438,000000	0,214896
5439,000000	0,213675
5440,000000	0,216117
5441,000000	0,216117
5442,000000	0,217338
5443,000000	0,224664
5444,000000	0,247863
5445,000000	0,288767
5446,000000	0,340049
5447,000000	0,452991
5448,000000	0,594017
5449,000000	0,737485
5450,000000	0,889499
5451,000000	1,064713
5452,000000	1,226496
5453,000000	1,393773
5454,000000	1,559829
5455,000000	1,722833
5456,000000	1,869353
5457,000000	2,009158
5458,000000	2,115385
5459,000000	2,193529
5460,000000	2,220391
5461,000000	2,191697
5462,000000	2,111722
5463,000000	1,989621
5464,000000	1,846764
5465,000000	1,680708
5466,000000	1,525031
5467,000000	1,348596
5468,000000	1,202076
5469,000000	1,033578
5470,000000	0,869353
5471,000000	0,708181
5472,000000	0,564713
5473,000000	0,416972
5474,000000	0,298535
5475,000000	0,191697
5476,000000	0,114164
5477,000000	0,068376
5478,000000	0,042735
5479,000000	0,024420
5480,000000	0,015873
5481,000000	0,015873
5482,000000	0,015873
5483,000000	0,018315
5484,000000	0,019536
5485,000000	0,015263
